name,house,status,price,size_ml,acquired,rating,notes_raw,description,all_natural,thoughts
John Frume,Aether Arts,owned,58.0,5.5,American Perfumer - 2019,,"Lime & coconut water, guava, tropical fruits, tropical flower accord Vanuatu pepper, vetiver, exotic woods.","With a main note of Vanuatu Pepper sourced from the island of Vanuatu, this unique tropical perfume transports you to the beautiful and remote Melanesian Islands. Fresh lime and coconut-water mix with the scent of tropical fruits. The fragrance of mischief flower, jasmine and ylang ylang float on the trade winds. Exotic woods and vetiver bring you down to earth while Vanuatu pepper weaves its magic throughout.",Y,
Love for 3 Oranges,Aether Arts,owned,58.0,5.5,American Perfumer,,"Juicy orange accord created from multiple citrus notes. Creamy orange blossom accord. Bright green notes, woody accord, and musk.","Love for 3 Oranges: Flower, Fruit & Tree opens with a juicy orange accord created from multiple citrus notes, and then segues into the fresh, creamy scent of orange blossoms. Bright green notes and woody accords ground our orange tree, providing a solid branch to land on. It’s like sunshine in a bottle.",Y,
Reflection,Aether Arts,owned,58.0,5.5,American Perfumer,,"Sage, ozone, rain, yucca blossom accord, cactus flower accord, sage blossom accord, Texas cedar, Mesquite wood accord.","Reflection opens with the scent of sage and the ozone of the approaching storm. As the rain falls, subtle florals begin to emerge, the desert plants expressing their gratitude by flowering. A mélange of cactus flowers, sage and yucca blooms. A hint of rain-washed cedar and mesquite floats on the air. For a moment you experience a profound contradiction: it is dry and it is wet, it is barren and it is blooming. It is water on the desert.",Y,
Saffron,Aether Arts,owned,58.0,5.5,American Perfumer,,"Pink peppercorn, turmeric, saffron, peach accord, cananga, jasmine absolute, vanilla, hazelnut, vintage amber accord, tobacco and suede accord, and more saffron!","A beautiful, leather-gourmand that leans a little bit vintage and oriental, Saffron starts off with a big dose of Saffron Absolute. This is topped by Pink Peppercorn and a natural Peach Accord before moving into Cananga and Jasmine Absolute. A vintage Amber Accord is further enhanced with Turmeric, Hazelnut, and Vanilla before giving way to soft, sueded, leather with a hint of Tobacco Absolute. Saffrόn will enfold you in a comforting embrace that feels as good as your favorite leather jacket infused with hugs from your favorite person. A perfect, unisex scent for lovers of Leather, Gourmand, and Amber notes.",Y,
Geisha Violet,Aroma M,owned,35.0,7.3,LuckyScent,,"violet, lilac, lotus, chocolate","The sweet scent of violet, suffused with lilac and ethereal Japanese lotus, spiked with bitter chocolate: That's the recipe for Geisha Violet, Aroma M's first new fragrance in three years. Geisha Violet is by no means old-fashioned here, this updated classic is boldly transposed into the 21st century. The drydown is the main attraction: cool, fresh violet and lotus dance so eloquently with chocolate notes--not foody, nor overly sweet, it's an elegant composition that begs you to sniff... and sniff.... and sniff in delight. Completely original.",,
Universal Supreme,Blackbird,owned,96.0,30.0,American Perfumer,,"Cherry, frankincense, cedar, heliotrope, rose, iris, dry grass, oud, sandalwood, swimming pool, strawberry",,,
Frida,En Voyage,owned,95.0,30.0,American Perfumer,,"apricots, watermelon, peaches, lemons, & lush greenery, tuberose, hibiscus, cactus flower, champaca, ylang ylang, gardenia, & jasmine, light woods, sugar, oakmoss, aldehydes, myrrh, frankincense, & copal, tobacco, green pepper, sexual animalic notes, musk, amber.","Narcotic and hypnotic. Melon, musky white florals, dry tobacco, incense. Tropical-garden exotic and, like Frida herself, very sexy.",,
La Petite Robe Noire,Guerlain,owned,55.0,100.0,Fragrance Net,,"Bergamot, almond, sour cherries, rose, tea, licorice, anise, tonka bean, vanilla, patchouli, iris",Sicilian lemon and sweet almond top notes transition to a heart of licorice and savory-sweet raspberry macarons. The smoothness of vanilla highlights the multiple-note base of this scent that makes your fragrance collection complete.,,
Slowdive,Hiram Green,owned,165.0,50.0,LuckyScent,,"Neroli, orange flower, tobacco blossom, tuberose, honey, dried fruit, resin","Is the name of Hiram Green's latest all-natural stunner a reference to Slowdive, the seminal UK shoegaze band who recently made a triumphant return to recording after a two-decade absence? The perfumer's notes are vague, referencing only ""the mood of those languid afternoons when the sweetness of the Indian summer air is almost palpable."" But it's not like those two concepts are unrelated- after all, the best shoegaze music is a lot like that feeling Green describes- an intense, steady hum of warmth and light, almost embryonic in its soothing envelopment. This is the feeling of Slowdive, a richly honeyed bouquet of potent white florals, hazily syrupy and mouthwateringly sweet, with a spicy-floral tobacco blossom featured at the center. The result is a gloriously but carefully balanced overdrive of olfactive noise, a fuzz of ambered, resinous fruits, lush, narcotic florals and invigorating spice, and the newest example of Hiram Green's remarkable ability to make disarmingly complex natural fragrances without limitation. While the connection between fragrance and band remains (appropriately) blurry, we can't help but feel that they'd approve.",,
Ao,Mikmoi,owned,108.0,50.0,American Perfumer,,"Tuberose, Thai ginger, coconut","Aquamarine bays recline across the Andaman Sea, a breeze whispers a seductive tuberose promise, long thai ginger afternoons, meet the bonfire's vanity, an invitation to join in the laughter, young juices flow.",,
